"","Industry","Data","Total","0-4","5-9","10-19","20-49","50-99","100-249","250-499","500-999","1000","Year"
"207","Utilities","Payroll (in thousands)",124239,448,1181,1751,4221,NA,NA,NA,NA,NA,2006-01-01
"208","Construction","No. of Businesses",7239,4096,1272,883,620,219,121,20,NA,NA,2006-01-01
"209","Construction","No. of Employees",92758,6542,8445,11915,18803,15156,18139,7051,NA,NA,2006-01-01
"210","Construction","Payroll (in thousands)",1082693,64140,79549,131001,214922,185145,227708,102980,NA,NA,2006-01-01
"211","Manufacturing","No. of Businesses",3303,1333,622,506,451,184,143,36,17,11,2006-01-01
"212","Manufacturing","No. of Employees",103534,2449,4172,7000,13979,12898,21440,11785,11735,18076,2006-01-01
"213","Manufacturing","Payroll (in thousands)",1502604,26292,39766,70836,166484,186259,290237,138847,195819,388064,2006-01-01
"214","Wholesale Trade","No. of Businesses",4216,2501,738,489,320,109,48,8,3,NA,2006-01-01
"215","Wholesale Trade","No. of Employees",44631,4276,4922,6508,9622,7353,7016,2583,2351,NA,2006-01-01
"216","Wholesale Trade","Payroll (in thousands)",603509,54129,56158,82276,127030,97924,101114,38810,46067,NA,2006-01-01
"217","Retail Trade","No. of Businesses",8943,3889,2161,1336,918,338,240,56,NA,NA,2006-01-01
"218","Retail Trade","No. of Employees",148187,7414,14411,18035,27678,23425,35867,17532,NA,NA,2006-01-01
"219","Retail Trade","Payroll (in thousands)",1063121,54764,88606,112143,183941,176681,291988,119065,NA,NA,2006-01-01
"220","Transportation and Warehousing","No. of Businesses",1384,749,226,181,147,46,26,6,NA,NA,2006-01-01
"221","Transportation and Warehousing","No. of Employees",21382,1171,1501,2457,4558,3215,3777,2103,NA,NA,2006-01-01
"222","Transportation and Warehousing","Payroll (in thousands)",199607,10126,11154,20716,44071,32311,31148,23001,NA,NA,2006-01-01
"223","Information","No. of Businesses",1314,707,NA,164,NA,50,47,9,9,5,2006-01-01
"224","Information","No. of Employees",37141,1053,NA,2315,NA,3508,7166,2980,6447,8629,2006-01-01
"225","Information","Payroll (in thousands)",755614,14795,NA,32077,NA,54773,115541,63739,125969,275718,2006-01-01
"226","Finance and Insurance","No. of Businesses",4883,3017,792,585,337,77,51,13,8,3,2006-01-01
"227","Finance and Insurance","No. of Employees",53154,4540,5314,7913,9778,5164,7691,4427,4443,3884,2006-01-01
"228","Finance and Insurance","Payroll (in thousands)",827757,65664,71296,109222,167700,90284,137322,75043,57862,53363,2006-01-01
"229","Real Estate and Rental and Leasing","No. of Businesses",5201,3821,740,380,173,56,23,8,0,0,2006-01-01
"230","Real Estate and Rental and Leasing","No. of Employees",30800,5409,4843,4939,5002,3878,3642,3087,0,0,2006-01-01
"231","Real Estate and Rental and Leasing","Payroll (in thousands)",309110,55523,42272,48526,57844,43461,34783,26702,0,0,2006-01-01
"232","Services","No. of Businesses",53226,37450,6160,4303,3311,1136,637,144,56,29,2006-01-01
"233","Services","No. of Employees",555128,44791,40632,58493,99673,78526,95883,48178,38936,50016,2006-01-01
"234","Services","Payroll (in thousands)",5416738,392806,368847,504385,875960,747808,932886,581583,434266,578197,2006-01-01
"235","Total","No. of Businesses",90562,57795,13074,9048,6545,2284,1351,310,103,52,2007-01-01
"236","Total","No. of Employees",1107409,76657,86698,122797,196531,157692,201227,105735,72146,87926,2007-01-01
"237","Total","Payroll (in thousands)",12530328,750921,810464,1201516,1981406,1648165,2274449,1273771,1133488,1456146,2007-01-01
"238","Agriculture","No. of Businesses",744,429,110,84,NA,29,18,NA,3,NA,2007-01-01
"239","Agriculture","No. of Employees",11551,696,720,1142,NA,1863,2459,NA,2021,NA,2007-01-01
"240","Agriculture","Payroll (in thousands)",77420,4736,5121,7429,NA,12459,17134,NA,11970,NA,2007-01-01
"241","Mining","No. of Businesses",27,17,NA,5,NA,NA,NA,NA,NA,NA,2007-01-01
"242","Mining","No. of Employees",416,25,NA,71,NA,NA,NA,NA,NA,NA,2007-01-01
"243","Mining","Payroll (in thousands)",5926,337,NA,998,NA,NA,NA,NA,NA,NA,2007-01-01
"244","Utilities","No. of Businesses",71,30,11,9,6,NA,9,3,NA,NA,2007-01-01
"245","Utilities","No. of Employees",6824,53,67,139,212,NA,1607,1169,NA,NA,2007-01-01
"246","Utilities","Payroll (in thousands)",123781,458,1269,2239,4024,NA,30879,17461,NA,NA,2007-01-01
"247","Construction","No. of Businesses",7166,4080,1265,849,630,216,100,NA,8,NA,2007-01-01
"248","Construction","No. of Employees",86942,6301,8334,11422,18991,14683,14281,NA,5439,NA,2007-01-01
"249","Construction","Payroll (in thousands)",1085700,65128,83856,132137,233330,186696,200723,NA,85719,NA,2007-01-01
"250","Manufacturing","No. of Businesses",3182,1283,569,498,440,195,138,31,17,11,2007-01-01
"251","Manufacturing","No. of Employees",102165,2433,3831,6849,13490,13710,21040,10564,11536,18712,2007-01-01
"252","Manufacturing","Payroll (in thousands)",1553100,26552,39336,76164,168316,178336,293617,149727,227020,394033,2007-01-01
"253","Wholesale Trade","No. of Businesses",4188,2452,734,515,319,113,44,7,4,NA,2007-01-01
"254","Wholesale Trade","No. of Employees",44535,4126,4910,6851,9542,7783,6409,2073,2841,NA,2007-01-01
"255","Wholesale Trade","Payroll (in thousands)",710385,52930,60206,88370,132044,117861,103376,26509,129089,NA,2007-01-01
"256","Retail Trade","No. of Businesses",8796,3732,2099,1399,926,343,238,56,NA,NA,2007-01-01
"257","Retail Trade","No. of Employees",147627,7273,14053,18753,27950,23984,34523,18285,NA,NA,2007-01-01
"258","Retail Trade","Payroll (in thousands)",1067687,54296,87786,115727,187792,187503,278058,128727,NA,NA,2007-01-01
"259","Transportation and Warehousing","No. of Businesses",1352,697,238,184,148,48,28,6,NA,NA,2007-01-01
